experiment,variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms
baseline,standard_decoder_only,0,64,0.0,17.484556198120117,0.03750000149011612,130.69065199852048
baseline,standard_decoder_only,1,64,0.0,15.153735160827637,0.03437500074505806,120.43747100142355
baseline,standard_decoder_only,2,64,0.0,15.59641170501709,0.03229166567325592,106.82862400062731
baseline,standard_decoder_only,3,64,0.0,19.174724578857422,0.03750000149011612,105.91012100121588
baseline,standard_decoder_only,4,64,0.0,17.04189682006836,0.02916666679084301,102.13244700025825
baseline,transformed_conv_decoder_only,0,64,0.0,14.479884147644043,0.03541666641831398,276.65449300002365
baseline,transformed_conv_decoder_only,1,64,0.0,13.194375038146973,0.0364583320915699,264.6487999991223
baseline,transformed_conv_decoder_only,2,64,0.0,12.417933464050293,0.03541666641831398,300.5263430004561
baseline,transformed_conv_decoder_only,3,64,0.0,15.049090385437012,0.03541666641831398,279.1800710001553
baseline,transformed_conv_decoder_only,4,64,0.0,14.058547019958496,0.0416666679084301,262.1515319988248
low_data,standard_decoder_only,0,16,0.0,17.247114181518555,0.02916666679084301,57.35943200124893
low_data,standard_decoder_only,1,16,0.0,14.217703819274902,0.05833333358168602,54.04178100070567
low_data,standard_decoder_only,2,16,0.0,15.506722450256348,0.05000000074505806,49.72184500002186
low_data,standard_decoder_only,3,16,0.0,19.05026626586914,0.0416666679084301,51.724069999181665
low_data,standard_decoder_only,4,16,0.0,16.293699264526367,0.03333333507180214,55.752730999302
low_data,transformed_conv_decoder_only,0,16,0.0,14.86476993560791,0.0416666679084301,112.3355250001623
low_data,transformed_conv_decoder_only,1,16,0.0,12.861532211303711,0.05833333358168602,114.67009600164602
low_data,transformed_conv_decoder_only,2,16,0.0,12.424808502197266,0.05416666716337204,118.32601800051634
low_data,transformed_conv_decoder_only,3,16,0.0,14.387985229492188,0.05000000074505806,109.52995700063184
low_data,transformed_conv_decoder_only,4,16,0.0,13.851835250854492,0.0416666679084301,113.19757099954586
low_data,standard_decoder_only,0,32,0.0,17.498565673828125,0.03333333507180214,65.45699700109253
low_data,standard_decoder_only,1,32,0.0,14.71273422241211,0.03333333507180214,66.76223499925982
low_data,standard_decoder_only,2,32,0.0,14.979132652282715,0.03958333283662796,66.61904400061758
