experiment,variant,n_samples,corruption,mean_final_loss,mean_best_token_accuracy,mean_elapsed_ms
baseline,standard_decoder_only,64,0.0,16.890264892578124,0.03416666723787785,113.1998630004091
baseline,transformed_conv_decoder_only,64,0.0,13.839966011047363,0.03687499985098839,276.6322477997164
low_data,standard_decoder_only,16,0.0,16.463101196289063,0.042500000819563864,53.719971800092026
low_data,standard_decoder_only,32,0.0,16.764360237121583,0.038333334028720856,66.0979310003313
low_data,standard_decoder_only,64,0.0,16.890264892578124,0.03416666723787785,93.23908719961764
low_data,standard_decoder_only,128,0.0,16.97116641998291,0.0324999999254942,178.8176474005013
low_data,transformed_conv_decoder_only,16,0.0,13.678186225891114,0.049166667461395266,113.61183340050047
low_data,transformed_conv_decoder_only,32,0.0,13.634819793701173,0.03208333365619183,145.57960359998106
low_data,transformed_conv_decoder_only,64,0.0,13.839966011047363,0.03687499985098839,224.55758199976117
low_data,transformed_conv_decoder_only,128,0.0,13.819681549072266,0.034583333507180215,425.8605068000179
corruption,standard_decoder_only,64,0.0,16.890264892578124,0.03416666723787785,104.56286940025166
corruption,standard_decoder_only,64,0.1,16.926897048950195,0.036666666716337205,100.96427540011064
corruption,standard_decoder_only,64,0.2,16.897211265563964,0.035624999180436136,95.66361180077365
corruption,standard_decoder_only,64,0.3,16.94856357574463,0.034166667610406876,96.88998859965068
corruption,transformed_conv_decoder_only,64,0.0,13.839966011047363,0.03687499985098839,232.7596312003152
corruption,transformed_conv_decoder_only,64,0.1,13.77567195892334,0.03770833313465118,226.66836620010145
corruption,transformed_conv_decoder_only,64,0.2,13.748566627502441,0.03812499940395355,226.25846900045872
corruption,transformed_conv_decoder_only,64,0.3,13.775200462341308,0.03708333410322666,239.14882560020487
