experiment,variant,n_samples,corruption,mean_final_loss,mean_best_token_accuracy,mean_elapsed_ms
baseline,analysis_synthesis_conv,64,0.0,8.221718883514404,0.02874999977648258,424.57123579988547
baseline,standard_seq2seq,64,0.0,10.79788818359375,0.026874999701976775,158.63592860041535
corruption,analysis_synthesis_conv,64,0.0,8.221718883514404,0.02874999977648258,381.0849273999338
corruption,analysis_synthesis_conv,64,0.1,8.280712890625,0.027499999850988388,395.1090854003269
corruption,analysis_synthesis_conv,64,0.2,8.3058012008667,0.0265625,361.70788619929226
corruption,analysis_synthesis_conv,64,0.3,8.28513307571411,0.025937499850988387,366.1263511992729
corruption,standard_seq2seq,64,0.0,10.79788818359375,0.026874999701976775,133.7459967999166
corruption,standard_seq2seq,64,0.1,10.827965545654298,0.03062499947845936,139.31433220059262
corruption,standard_seq2seq,64,0.2,10.804005813598632,0.02968749962747097,141.80959279947274
corruption,standard_seq2seq,64,0.3,10.679253387451173,0.027500000223517417,140.7132594002178
low_data,analysis_synthesis_conv,16,0.0,8.065897178649902,0.04000000059604645,281.60376280029595
low_data,analysis_synthesis_conv,32,0.0,8.175102233886719,0.03624999970197677,308.64971299961326
low_data,analysis_synthesis_conv,64,0.0,8.221718883514404,0.02874999977648258,395.3446196006553
low_data,analysis_synthesis_conv,128,0.0,8.323511695861816,0.026249999925494195,578.6421283999516
low_data,standard_seq2seq,16,0.0,10.426667404174804,0.03500000014901161,103.01259760053654
low_data,standard_seq2seq,32,0.0,10.735770988464356,0.033750000223517415,122.60111499999766
low_data,standard_seq2seq,64,0.0,10.79788818359375,0.026874999701976775,146.3491102000262
low_data,standard_seq2seq,128,0.0,10.950820159912109,0.024531250074505805,216.26268719992368
