experiment,attention_type,n_samples,noise_prob,mean_final_loss,mean_best_acc,mean_elapsed_ms
baseline,standard,64,0.0,0.6253782033920288,0.684375,95.81330440014426
baseline,transformed_conv,64,0.0,0.5903465986251831,0.796875,206.90669779978634
low_data,standard,16,0.0,0.5414415299892426,0.8125,48.800165199281764
low_data,transformed_conv,16,0.0,0.41573777198791506,0.9375,110.27043700014474
low_data,standard,32,0.0,0.5729695558547974,0.7625,60.82741520003765
low_data,transformed_conv,32,0.0,0.5067602336406708,0.86875,145.11400399969716
low_data,standard,64,0.0,0.6253782033920288,0.684375,90.04106480024348
low_data,transformed_conv,64,0.0,0.5903465986251831,0.796875,223.79757259986945
low_data,standard,128,0.0,0.6483020782470703,0.665625,157.26270440027292
low_data,transformed_conv,128,0.0,0.63225759267807,0.6859375,408.69491699959326
corruption,standard,64,0.0,0.6253782033920288,0.684375,108.37846460017317
corruption,transformed_conv,64,0.0,0.5903465986251831,0.796875,259.09198819972517
corruption,standard,64,0.1,0.6123642206192017,0.746875,89.22257239973987
corruption,transformed_conv,64,0.1,0.5971807241439819,0.79375,232.52958999910334
corruption,standard,64,0.2,0.6104105591773987,0.746875,91.70300199912162
corruption,transformed_conv,64,0.2,0.5966638445854187,0.803125,237.87458820042957
corruption,standard,64,0.3,0.61106436252594,0.73125,84.40173199996934
corruption,transformed_conv,64,0.3,0.6052531003952026,0.790625,214.36903699977847
