seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,layer_0_q_gate,layer_0_k_gate,layer_0_v_gate
0,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,76.68820899999673,0.0625,0.017292123287916183,,,
1,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,64.46968799997421,0.0625,0.01815955340862274,,,
2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,57.00477700003148,0.0625,0.01653633452951908,,,
3,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,57.85406699999385,0.0625,0.018704602494835854,,,
4,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,56.77402700001721,0.0624999925494194,0.017603298649191856,,,
0,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,164.04091499998685,0.0625,0.058886658400297165,0.003833356313407421,-0.0015041178558021784,-0.007943854667246342
1,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,135.18150799995965,0.0625,0.05740141496062279,0.002955008065328002,-0.004694976378232241,-0.0008813784806989133
2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,112.06924399999707,0.0625,0.05327144265174866,0.002717026509344578,-0.006181180011481047,-0.002225725445896387
3,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,128.64458600000717,0.0625,0.06610559672117233,0.006309562362730503,-0.0067099398002028465,-0.0004617675731424242
4,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,115.47675499997467,0.0625,0.05428275093436241,-0.0029517451766878366,-0.003664938732981682,0.0011092780623584986
