seed,model_type,num_layers,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,encoder_attn_mean,cross_attn_mean,noise_prob,dict_gate
0,standard_seq2seq,2,12.528380393981934,12.528380393981934,0.01953125,0.0224609375,307.63345100012884,0.0624999925494194,0.0625,0.0,
1,standard_seq2seq,2,12.04732894897461,12.04732894897461,0.0166015625,0.0166015625,275.06644599998253,0.0625,0.0625000074505806,0.0,
2,standard_seq2seq,2,11.66925048828125,11.66925048828125,0.013671875,0.01953125,260.65489399979924,0.0625,0.0625,0.0,
3,standard_seq2seq,2,13.345211029052734,13.345211029052734,0.0224609375,0.0234375,253.62288499991337,0.0624999925494194,0.0625,0.0,
4,standard_seq2seq,2,11.91790771484375,11.91790771484375,0.0166015625,0.0185546875,256.2824689998706,0.0625,0.0624999962747097,0.0,
0,analysis_synthesis_conv,2,9.942933082580566,9.942933082580566,0.0107421875,0.013671875,726.3869779999368,0.0625,0.0624999962747097,0.0,0.00747623760253191
1,analysis_synthesis_conv,2,9.844874382019043,9.844874382019043,0.015625,0.0205078125,620.2605650000805,0.0625,0.0625,0.0,-0.008682239800691605
2,analysis_synthesis_conv,2,8.713808059692383,8.713808059692383,0.0205078125,0.0263671875,602.3049830000673,0.0625000074505806,0.0625,0.0,0.008773203007876873
3,analysis_synthesis_conv,2,9.492509841918945,9.492509841918945,0.0205078125,0.025390625,610.1743419999366,0.0624999962747097,0.0625,0.0,0.00896457303315401
4,analysis_synthesis_conv,2,10.626996040344238,10.626996040344238,0.017578125,0.0263671875,640.4436689999784,0.0625,0.0625,0.0,0.009017087519168854
0,standard_seq2seq,2,12.569345474243164,12.569345474243164,0.021484375,0.021484375,245.06364099988787,0.0624999962747097,0.0625,0.1,
1,standard_seq2seq,2,11.964442253112793,11.964442253112793,0.015625,0.0166015625,236.9359770000301,0.0625,0.0625,0.1,
2,standard_seq2seq,2,11.64077091217041,11.64077091217041,0.015625,0.021484375,235.21409899967693,0.0625,0.0625,0.1,
3,standard_seq2seq,2,13.275079727172852,13.275079727172852,0.0185546875,0.021484375,233.57923999992636,0.0625,0.0625,0.1,
4,standard_seq2seq,2,11.973617553710938,11.973617553710938,0.0185546875,0.021484375,232.05322900003011,0.0625,0.0625,0.1,
0,analysis_synthesis_conv,2,10.035207748413086,10.035207748413086,0.015625,0.0166015625,621.9575420000183,0.0625,0.0625,0.1,0.007166909519582987
