seed,model_type,num_layers,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,encoder_attn_mean,cross_attn_mean,n_samples,dict_gate
0,standard_seq2seq,2,12.37624740600586,12.37624740600586,0.02734375,0.0390625,139.70141600020725,0.0625000074505806,0.0625,16,
1,standard_seq2seq,2,11.934473037719727,11.934473037719727,0.015625,0.01953125,117.63010000004215,0.0625,0.0625,16,
2,standard_seq2seq,2,11.668539047241211,11.668539047241211,0.015625,0.01953125,128.70458599991252,0.0625,0.0625000074505806,16,
3,standard_seq2seq,2,13.154438972473145,13.154438972473145,0.03515625,0.0390625,119.37292699985846,0.0625,0.0625,16,
4,standard_seq2seq,2,11.435497283935547,11.435497283935547,0.03125,0.03515625,113.80711500032703,0.0625,0.0625,16,
0,analysis_synthesis_conv,2,10.018171310424805,10.018171310424805,0.01171875,0.0234375,359.6940209999957,0.0625000074505806,0.0625,16,0.008055305108428001
1,analysis_synthesis_conv,2,9.345535278320312,9.345535278320312,0.03515625,0.04296875,327.4798549996376,0.0625,0.0625,16,-0.008478966541588306
2,analysis_synthesis_conv,2,7.997402667999268,7.997402667999268,0.03125,0.03515625,323.599755000032,0.0625,0.0625,16,0.008883198723196983
3,analysis_synthesis_conv,2,9.258650779724121,9.258650779724121,0.02734375,0.03515625,320.7267259999753,0.0625,0.0625,16,0.008955235593020916
4,analysis_synthesis_conv,2,10.512811660766602,10.512811660766602,0.015625,0.01953125,314.79719800017847,0.0625000074505806,0.0625,16,0.009061317890882492
0,standard_seq2seq,2,12.418840408325195,12.418840408325195,0.01953125,0.025390625,156.2059389998467,0.0624999962747097,0.0625,32,
1,standard_seq2seq,2,11.979637145996094,11.979637145996094,0.01171875,0.013671875,154.36658299995543,0.0625,0.0625,32,
2,standard_seq2seq,2,11.701330184936523,11.701330184936523,0.02734375,0.02734375,151.98999599988383,0.0625000074505806,0.0624999962747097,32,
3,standard_seq2seq,2,13.163844108581543,13.163844108581543,0.033203125,0.033203125,162.62876099972345,0.0624999962747097,0.0625,32,
4,standard_seq2seq,2,11.870144844055176,11.870144844055176,0.017578125,0.01953125,156.1415300002409,0.0625,0.0625,32,
0,analysis_synthesis_conv,2,9.912837028503418,9.912837028503418,0.013671875,0.017578125,438.9245510001274,0.0625,0.0625,32,0.007579966448247433
1,analysis_synthesis_conv,2,9.730134010314941,9.730134010314941,0.01953125,0.0234375,415.5897159998858,0.0624999962747097,0.0625000074505806,32,-0.008425740525126457
2,analysis_synthesis_conv,2,8.45062255859375,8.45062255859375,0.01953125,0.029296875,410.7309789997089,0.0625,0.0625,32,0.008785588666796684
3,analysis_synthesis_conv,2,9.315407752990723,9.315407752990723,0.01953125,0.029296875,411.07514499981335,0.0625,0.0625,32,0.009035095572471619
4,analysis_synthesis_conv,2,10.487322807312012,10.487322807312012,0.0234375,0.025390625,418.80901100012125,0.0625,0.0625,32,0.008806596510112286
0,standard_seq2seq,2,12.528380393981934,12.528380393981934,0.01953125,0.0224609375,232.53234100002373,0.0624999925494194,0.0625,64,
1,standard_seq2seq,2,12.04732894897461,12.04732894897461,0.0166015625,0.0166015625,221.7954589996225,0.0625,0.0625000074505806,64,
2,standard_seq2seq,2,11.66925048828125,11.66925048828125,0.013671875,0.01953125,233.9259929999571,0.0625,0.0625,64,
3,standard_seq2seq,2,13.345211029052734,13.345211029052734,0.0224609375,0.0234375,227.5891250001223,0.0624999925494194,0.0625,64,
4,standard_seq2seq,2,11.91790771484375,11.91790771484375,0.0166015625,0.0185546875,226.93780600002356,0.0625,0.0624999962747097,64,
0,analysis_synthesis_conv,2,9.942933082580566,9.942933082580566,0.0107421875,0.013671875,671.472358000301,0.0625,0.0624999962747097,64,0.00747623760253191
